type	X	Y	Z	I/O1	I/O2	I/O
3	2	6	4	0	5
2	0	6	3	1	5
2	1	5	4	1	5
3	5	4	1	0	6
3	0	2	4	0	6
2	2	2	1	1	5
3	5	0	4	0	6
3	4	7	2	0	7
3	2	1	2	0	8
2	4	8	1	1	5
3	2	3	1	0	8
3	3	6	4	0	7
2	0	3	4	1	5
3	0	7	2	0	7
3	0	4	1	0	7
3	3	3	2	0	7
2	4	2	2	1	5
2	6	8	2	1	5
3	2	9	3	0	7
3	1	0	1	0	8
3	2	4	4	0	6
2	0	0	4	1	5
3	2	5	4	0	7
2	3	2	4	1	5
2	6	1	1	1	5
2	1	3	2	1	5
3	0	5	3	0	8
2	3	2	2	1	5
2	0	0	3	1	5
3	0	4	4	0	8
2	3	8	2	1	5
2	5	3	2	1	5
3	1	8	2	0	8
2	3	7	1	1	5
3	0	1	4	0	6
3	0	5	4	0	6
2	4	6	2	1	5
3	2	8	3	0	5
2	6	8	1	1	5
3	4	0	3	0	8
3	0	8	4	0	6
2	4	6	1	1	5
3	5	1	4	0	7
3	5	7	2	0	5
2	1	1	4	1	5
3	2	7	2	0	5
3	5	5	2	0	7
3	0	1	1	0	7
3	1	6	1	0	8
2	1	9	1	1	5


