1	11565	8455
2	11564	8456
3	12000	8850
4	11300	2345
5	11300	2344
6	8800	4989
7	8800	4989
8	7900	4420
9	7900	4419
10	11520	6876
11	11519	6848
12	7273	3621
13	7272	3622
14	7782	4600
15	7781	4600
16	7400	4269
17	7400	4269
18	6900	2200
19	6900	2200
20	5708	3264
21	5707	3265
22	6899	4300
23	6898	4300
24	5638	3400
25	5637	3400
26	11137	7100
27	11136	7100
28	8429	4500
29	8937	4500
30	8937	4500
31	8300	4600
32	8300	4600
33	6500	3201
34	5700	2234
35	5700	2233
36	7800	5421
37	6400	2271
38	6400	2271
39	8700	3117
40	8700	3117
41	8500	5695
42	10700	5323
43	7299	2063
44	7298	2064
45	7226	2098
46	7227	2098
47	6763	1947
48	6763	1947
49	6696	1970
50	6696	1970
51	8614	3050
52	8615	3050
53	8658	3279
54	8659	3278
55	7714	2622
56	7715	2622
57	7758	2861
58	7759	2861
59	8100	2768
60	8100	2768
61	3900	1409
62	3900	1409
63	3928	1458
64	3900	1475
65	12400	2525
66	12400	2524
67	12200	2501
68	12200	2502
69	7986	4800
70	7985	4700
71	8119	4500
72	2830	4400
73	2830	4400
74	9117	4800
75	9118	4800
76	6485	2658
77	2520	1982
78	3100	5117
79	2985	4946
80	2188	1886
81	5300	4146
82	6220	4896
83	2140	1800
84	2617	1900
85	3235	2672
86	2900	2396
87	3209	2616
88	2700	2440
89	1166	6711
90	1166	6711
91	2680	2400
92	2940	2503
93	2939	2503
94	4400	2500
95	1855	3600
96	1855	3600
97	4738	542
98	7780	2815
99	1473	1896
100	1473	1896
101	2063	730
102	2000	950
103	851	1870
104	1670	2121
105	750	2050
106	2062	730
107	2000	950
108	1670	2121
109	852	1870
110	750	2050
111	1100	1100
112	750	2050
113	2000	950
114	1670	2121
115	1100	1100
116	750	2050
117	750	2050
118	750	1450
119	750	1450
120	2000	950
121	2062	730
122	1380	650
123	1670	2121
124	852	1870
125	750	2050
126	750	1450
127	750	2050
128	750	1450
129	1100	1100
130	1100	1100
131	750	2050
132	750	2050
133	2062	730
134	2000	950
135	852	1870
136	1670	2121
137	750	1450
138	1100	1100
139	750	2050
140	750	1450
141	750	2050
142	2063	730
143	1380	650
144	3050	450
145	2000	950
146	1670	2121
147	853	1870
148	750	2050
149	750	1450
150	1100	1100
151	750	1450
152	750	2050
153	1380	650
154	2000	950
155	3050	450
156	3050	450
157	1670	2121
158	1100	1100
159	750	2050
160	750	2050
161	750	1450
162	750	1450
163	3050	450
164	3050	450
165	2000	950
166	2063	730
167	1380	650
168	1670	2121
169	853	1870
170	750	2050
171	750	1450
172	750	2050
173	750	1450
174	1100	1100
